"fileid","year","month","day","circuit","state","district","reversed_dum","ethnicity","income","counsel_type","weight"
"B0196MH1",1996,6,25,1,29,7,0,"Hispanic","Wealthy","Court Appointed or Public Defender",0.648039371328782
"B0196MH1",1996,12,19,1,21,7,0,"Hispanic","Wealthy","Court Appointed or Public Defender",0.648039371328782
"B0296MH1",1996,7,22,2,32,5,1,"Hispanic","Wealthy","Private",1.35799333227496
"B0396MH1",1996,10,18,3,30,7,0,"Hispanic","Wealthy","None",0.473646610573107
"B0396MH1",1996,10,18,3,30,7,1,"Black","Poor","Private",0.473646610573107
"B0496MH1",1996,5,28,4,20,7,0,"Black","Poor","Private",0.448717841595575
"B0496MH1",1996,8,20,4,46,1,0,"Black","Wealthy","Court Appointed or Public Defender",0.448717841595575
"B0596MH1",1996,12,13,5,43,5,0,"Black","Poor","Private",0.922886310456456
"B0596MH1",1996,12,31,5,43,2,0,"Hispanic","Wealthy","None",0.922886310456456
"B0596MH1",1996,11,14,5,43,2,1,"Hispanic","Wealthy","Private",0.922886310456456
"B0796MH1",1996,5,3,7,13,5,1,"Native American","Wealthy","Private",1.40172665351265
"B0996MH1",1996,9,11,9,5,6,0,"Asian","Poor","Private",2.0524686458168
"B0996MH1",1996,7,25,9,3,7,1,"Native American","Wealthy","Court Appointed or Public Defender",2.0524686458168
"B1096MH1",1996,1,17,10,31,7,0,"Hispanic","Poor","Private",0.720003865347847
"B1096MH1",1996,2,2,10,44,7,0,"Hispanic","Wealthy","Private",0.720003865347847
"B1096MH1",1996,11,18,10,31,7,1,"Hispanic","Wealthy","None",0.720003865347847
"B1196MH1",1996,10,21,11,9,4,0,"Hispanic","Wealthy","Court Appointed or Public Defender",0.720003865347847
"B1196MH1",1996,7,19,11,9,5,1,"Hispanic","Wealthy","Interest Group",0.720003865347847
"B0096MH1",1996,11,1,0,53,7,0,"Black","Wealthy","Court Appointed or Public Defender",0.842038418796634
"B0096MH1",1996,10,4,0,53,7,0,"Hispanic","Wealthy","Court Appointed or Public Defender",0.842038418796634
"B0096MH1",1996,3,29,0,53,7,0,"Hispanic","Wealthy","Court Appointed or Public Defender",0.842038418796634
"B0195MH1",1995,10,17,1,52,7,1,"Hispanic","Wealthy","Private",0.640061565523307
"B0195MH1",1995,12,26,1,52,7,0,"Hispanic","Poor","Private",0.640061565523307
"B0195MH1",1995,5,31,1,52,7,0,"Hispanic","Poor","Private",0.640061565523307
"B0195MH1",1995,6,14,1,29,7,0,"Native American","Wealthy","Private",0.640061565523307
"B0195MH1",1995,1,30,1,52,7,0,"Hispanic","Wealthy","Court Appointed or Public Defender",0.640061565523307
"B0495MH1",1995,1,20,4,46,1,0,"Asian","Poor","Private",0.494808993919927
"B0495MH1",1995,6,16,4,55,0,1,"Black","Wealthy","Private",0.494808993919927
"B0595MH1",1995,2,17,5,24,5,0,"Hispanic","Wealthy","None",1.36162307931088
"B0695EK1",1995,10,19,6,22,1,0,"Asian","Wealthy","Private",0.717296208859881
"B0695EK1",1995,5,23,6,35,6,0,"Caucasian","Poor","Private",0.717296208859881
"B0695EK1",1995,12,20,6,35,6,0,"Caucasian","Poor","Private",0.717296208859881
"B0795EK1",1995,8,16,7,55,0,0,"Asian","Wealthy","Private",1.1469183778823
"B0795EK1",1995,6,19,7,13,6,0,"Hispanic","Wealthy","Private",1.1469183778823
"B0795EK1",1995,9,15,7,55,0,1,"Black","Wealthy","Private",1.1469183778823
"B0895MH1",1995,2,27,8,4,2,1,"Hispanic","Wealthy","Private",1.47341515067352
"B0995MH1",1995,4,21,9,47,2,0,"Hispanic","Wealthy","Court Appointed or Public Defender",1.9649522737855
"B0995MH1",1995,6,1,9,37,7,0,"Black","Poor","Private",1.9649522737855
"B0995MH1",1995,11,21,9,2,7,0,"Hispanic","Wealthy","Court Appointed or Public Defender",1.9649522737855
"B1095MH1",1995,3,14,10,6,7,0,"Hispanic","Poor","Private",0.876181838170624
"B1095MH1",1995,12,21,10,31,7,1,"Hispanic","Wealthy","Court Appointed or Public Defender",0.876181838170624
"B1095MH1",1995,9,14,10,31,7,0,"Hispanic","Wealthy","Court Appointed or Public Defender",0.876181838170624
"B1195MH1",1995,5,23,11,9,5,1,"Hispanic","Wealthy","Private",0.880328578496042
"B1195MH1",1995,3,16,11,9,5,0,"Hispanic","Wealthy","None",0.880328578496042
"B1195MH1",1995,7,7,11,9,5,0,"Caucasian","Poor","Private",0.880328578496042
"B0095MH1",1995,3,21,0,53,7,0,"Asian","Wealthy","Private",0.613096665867114
"B0594EK1",1994,8,31,5,43,1,1,"Asian","Wealthy","Private",1.59068219633943
"B0594EK1",1994,11,25,5,43,5,0,"Hispanic","Wealthy","Court Appointed or Public Defender",1.59068219633943
"B0694EK1",1994,6,24,6,55,0,0,"Asian","Middle","Private",0.787576261785912
"B0894EK1",1994,1,7,8,25,2,1,"Hispanic","Wealthy","Private",1.37800635304795
"B0894EK1",1994,9,29,8,25,1,0,"Black","Poor","Private",1.37800635304795
"B0994EK1",1994,4,1,9,54,7,1,"Hispanic","Wealthy","Private",1.44002420208743
"B1094EK1",1994,2,1,10,6,7,1,"Hispanic","Wealthy","Private",0.756709831440353
"B1094EK1",1994,12,20,10,36,2,1,"Asian","Poor","Private",0.756709831440353
"B1094EK1",1994,4,6,10,31,7,0,"Hispanic","Wealthy","Court Appointed or Public Defender",0.756709831440353
"b0193ek1",1993,12,29,1,52,7,0,"Hispanic","Poor","Private",0.678639069264069
"b0193ek1",1993,4,30,1,55,0,0,"Hispanic","Wealthy","Private",0.678639069264069
"B0493MH1",1993,9,3,4,48,6,0,"Hispanic","Wealthy","Private",0.788084215167548
"B0593EK1",1993,3,29,5,43,6,0,"Hispanic","Wealthy","Court Appointed or Public Defender",1.42795634920635
"B0593EK1",1993,8,5,5,43,5,0,"Hispanic","Wealthy","Court Appointed or Public Defender",1.42795634920635
"B0593EK1",1993,6,23,5,43,2,0,"Hispanic","Wealthy","Court Appointed or Public Defender",1.42795634920635
"B0593EK1",1993,7,23,5,18,2,1,"Hispanic","Wealthy","Private",1.42795634920635
"B0593EK1",1993,7,29,5,18,4,1,"Hispanic","Wealthy","Private",1.42795634920635
"B0793EK1",1993,12,30,7,49,2,1,"Native American","Wealthy","Private",1.37479332010582
"B0793EK1",1993,5,4,7,13,6,1,"Caucasian","Poor","Private",1.37479332010582
"B0893EK1",1993,11,30,8,23,7,0,"Black","Wealthy","Court Appointed or Public Defender",0.224431818181818
"B1093EK1",1993,12,28,10,36,2,1,"Black","Poor","Private",1.17559523809524
"B1093EK1",1993,3,22,10,31,7,0,"Hispanic","Wealthy","Court Appointed or Public Defender",1.17559523809524
"B1093EK1",1993,2,10,10,44,7,1,"Hispanic","Wealthy","Private",1.17559523809524
"B1093EK1",1993,7,7,10,36,1,0,"Hispanic","Wealthy","Private",1.17559523809524
"B1193EK1",1993,3,19,11,1,6,1,"Black","Poor","Private",1.18082010582011
"b0093ek1",1993,1,15,0,53,7,0,"Black","Poor","Private",0.868131868131868
"B0492MH1",1992,4,3,4,48,5,0,"Asian","Poor","Private",0.629772121929565
