"Country.Name","Country.Code","Region","year","co2","gdpCapita"
"Afghanistan","AFG","South Asia",1981,1983.847,267.662423622744
"Afghanistan","AFG","South Asia",1982,2101.191,NA
"Afghanistan","AFG","South Asia",1983,2522.896,NA
"Afghanistan","AFG","South Asia",1984,2830.924,NA
"Afghanistan","AFG","South Asia",1985,3509.319,NA
"Afghanistan","AFG","South Asia",1986,3142.619,NA
"Afghanistan","AFG","South Asia",1987,3124.284,NA
"Afghanistan","AFG","South Asia",1988,2867.594,NA
"Afghanistan","AFG","South Asia",1989,2775.919,NA
"Afghanistan","AFG","South Asia",1990,2676.91,NA
"Afghanistan","AFG","South Asia",1991,2493.56,NA
"Afghanistan","AFG","South Asia",1992,1426.463,NA
"Afghanistan","AFG","South Asia",1993,1375.125,NA
"Afghanistan","AFG","South Asia",1994,1320.12,NA
"Afghanistan","AFG","South Asia",1995,1268.782,NA
"Afghanistan","AFG","South Asia",1996,1199.109,NA
"Afghanistan","AFG","South Asia",1997,1114.768,NA
"Afghanistan","AFG","South Asia",1998,1056.096,NA
"Afghanistan","AFG","South Asia",1999,832.409,NA
"Afghanistan","AFG","South Asia",2000,781.071,NA
"Afghanistan","AFG","South Asia",2001,645.392,119.899037111574
"Afghanistan","AFG","South Asia",2002,894.748,192.153528278789
"Afghanistan","AFG","South Asia",2003,1037.761,203.651040923182
"Afghanistan","AFG","South Asia",2004,957.087,224.914712193371
"Afghanistan","AFG","South Asia",2005,1338.455,257.175794656273
"Afghanistan","AFG","South Asia",2006,1657.484,280.245644106914
"Afghanistan","AFG","South Asia",2007,2280.874,380.400955186598
"Afghanistan","AFG","South Asia",2008,4217.05,384.131681276838
"Afghanistan","AFG","South Asia",2009,6776.616,458.955781585831
"Albania","ALB","Europe & Central Asia",1981,7341.334,NA
"Albania","ALB","Europe & Central Asia",1982,7308.331,NA
"Albania","ALB","Europe & Central Asia",1983,7631.027,NA
"Albania","ALB","Europe & Central Asia",1984,7825.378,662.520052309054
"Albania","ALB","Europe & Central Asia",1985,7880.383,662.914792567128
"Albania","ALB","Europe & Central Asia",1986,8056.399,719.157295703914
"Albania","ALB","Europe & Central Asia",1987,7444.01,699.384292086697
